,poet,poem,dynasty,setiments,title,arousal
1989,范成大,西楼第一红多叶|东苑无双紫压枝|梦里东风忙里过|蒲团药鼎鬓成丝,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}",蜀花以状元红为第一金陵东御园紫绣毬为最,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}"
1990,陆游,薄荷花开蝶翅翻|风枝露叶弄秋妍|自怜不及狸奴黠|烂醉篱边不用钱,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '4'}",题画薄荷扇二首,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
1991,杨万里,两山夹岸走苍龙|未放中间过玉虹|只爱当头一峰好|一峰外面更三峰,宋,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}",皇恐滩三首,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}"
1992,李廌,羡君走马踏千山|却笑吟诗不肯閒|写得清风入嘉句|尽携爽气出云间,宋,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '4'}",失题,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '2', 'line4': '2'}"
1993,司马光,宜春果结洛阳枝|正遇耆明会客时|更引轻舟倚芦岸|香秔鲜鲙雅相宜,宋,"{'holistic': '5', 'line1': '4', 'line2': '3', 'line3': '5', 'line4': '5'}",席君从于洛城种金橘今秋始结六实以其四献开府太师招三客以赏之留守相公时赋诗以纪奇事光窃不自揆輙依高韵继成五章,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}"
1994,宋祁,岁满林光会计期|天缗还赏动慈帷|贪荣寿母咳兰养|不过忠臣坂道危,宋,"{'holistic': '5', 'line1': '4', 'line2': '5', 'line3': '5', 'line4': '4'}",梁子材宰叶州郑县,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}"
1995,米芾,满院红芳减复添|清微风细入重帘|秾香不使朝醒快|竟日蛮沉拥绣衫,宋,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '4'}",频于梦中作宫词何也漫成一首,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}"
1996,苏辙,早缘民事失茶官|解印重来十二年|美恶一周还自复|始知东里解言天,宋,"{'holistic': '3', 'line1': '2', 'line2': '3', 'line3': '3', 'line4': '4'}",送周思道朝议归守汉州三绝,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}"
1997,宋褧,未央宫阙锦辉煌|隆凖何心恋故乡|直到中兴守家法|年年供顿幸南阳,元,"{'holistic': '4', 'line1': '5', 'line2': '2', 'line3': '4', 'line4': '4'}",沛中,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
1998,杜牧,翠屏山对凤城开|碧落摇光霁后来|回识六龙巡幸处|飞烟闲绕望春台,唐,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}",长安晴望,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}"
1999,高启,惆怅江东日暮云|我来君去苦离群|不知此日君思我|还似当时我忆君,明,"{'holistic': '2', 'line1': '1', 'line2': '2', 'line3': '3', 'line4': '2'}",寄徐记室,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}"
2000,赵嘏,池上笙歌寂不闻|楼中愁杀碧虚云|玉壶凝尽重重泪|寄与风流旧使君,唐,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '1', 'line4': '2'}",寄前黄州窦使君,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}"
2001,姚勉,幸喜甘霖做岁丰|灵泉又奏济人功|但令奸猾销声好|莫禁民跻寿域中,宋,"{'holistic': '3', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '2'}",题蜀江观,
2002,陆游,锦城梅花海|十里香不断|醉帽插花归|银鞍万人看,宋,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '4'}",梅花绝句十首,
2003,王绂,京国逺来将万里|士民欢悦共讴吟|久钦西伯施仁政|终见东平乐善心,明,"{'holistic': '5', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '5'}",至成都,
2004,范成大,船头月午坐忘归|不管风鬟露满衣|横玉三声湖起浪|前山应有鹊惊飞,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",李次山自画两图其一泛舟湖山之下小女奴坐船头吹笛其一跨馿渡小桥入深谷各题一绝,
2005,李之仪,篝火宵深兴转浓|可怜潭水断来踪|祇疑终有蛟龙护|玉室金堂未许逢,宋,"{'holistic': '2', 'line1': '4', 'line2': '2', 'line3': '3', 'line4': '2'}",游华阳洞行十馀步水阻而回,
2006,宋祁,风袅危樯浪拍船|三更残月下空弦|离鸿过尽啼乌困|犹自愁人不得眠,宋,"{'holistic': '2', 'line1': '2', 'line2': '3', 'line3': '2', 'line4': '2'}",秋夕不寐,
2007,宋思仁,凄风桔柏咽江流|月照牛头万古秋|杜宇亦知千载恨|声声泣血过危楼,淸,"{'holistic': '1', 'line1': '1', 'line2': '1', 'line3': '2', 'line4': '1'}",牛头山留别,
2008,杨万里,病里无聊费扫除|节中不饮更愁予|偶然一读香山集|不但无愁病亦无,宋,"{'holistic': '4', 'line1': '2', 'line2': '1', 'line3': '3', 'line4': '4'}",端午病中止酒,
2009,范成大,寒食花枝插满头|蒨裙青袂几扁舟|一年一度游山寺|不上灵岩即虎丘,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '3'}",四时田园杂兴六十首,
2010,刘克庄,花离京洛缁尘少|诗到齐梁绮语多|老子七言虽淡泊|不曾一字犯阴何,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",十叠,
2011,姚勉,山为仁者乐|况复字为仁|坐与兹山对|静中天地春,宋,"{'holistic': '4', 'line1': '4', 'line2': '3', 'line3': '3', 'line4': '4'}",仁山,
2012,苏轼,肩舆已弃蹑风骓|旧物犹存杨柳枝|一曲清商近尤好|五陵豪气未全衰,宋,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '5', 'line4': '4'}",刘顗宫苑退老于庐山石碑庵顗陕西人本进士换武家有声伎,
2013,文天祥,江海日凄凉|贤圣尽萧索|西河共风味|顾步涕横落,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '1'}",曾先生第一百三十六,
2014,刘敞,西流不返日滔滔|陇上犹歌七尺刀|恸哭应知贾谊意|世人生死两鸿毛,宋,"{'holistic': '4', 'line1': '2', 'line2': '4', 'line3': '2', 'line4': '4'}",杨无敌庙,
2015,寇准,地高阁迥宜闲望|望尽云山首懒回|林下野僧应笑我|半年旌旆四曾来,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '4'}",留题洛北罗汉阁,
2016,黄庭坚,深如女发兰膏罢|明似山光夜月馀|为染溪藤三百个|待渠湔拂一床书,宋,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '4'}",求范子默染鸦青纸二首,
2017,刘克庄,恩赋支离粟一囊|午窗卧看世人忙|东家学究穷于我|六月褒衣上讲堂,宋,"{'holistic': '4', 'line1': '2', 'line2': '3', 'line3': '3', 'line4': '3'}",午窗,
2018,黄庭坚,颇知歌舞无窍凿|我心块然如帝江|花里雄蜂雌蛱蝶|同时本自不作双,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}",戏答王定国题门两绝句,
2019,苏轼,自笑平生为口忙|老来事业转荒唐|长江绕郭知鱼美|好竹连山觉笋香,宋,"{'holistic': '4', 'line1': '4', 'line2': '2', 'line3': '4', 'line4': '4'}",初到黄州,
2020,宋祁,素瑟朱家古韵长|有谁流水辨汤汤|东家学嗜蒲葅味|蹙頞三年试敢尝,宋,"{'holistic': '3', 'line1': '4', 'line2': '3', 'line3': '3', 'line4': '3'}",读退之集,
2021,杨万里,上巳春阴政未开|寒窗愁坐冷于灰|冻蝇触纸飞还落|仰面翻身起不来,宋,"{'holistic': '2', 'line1': '2', 'line2': '1', 'line3': '2', 'line4': '1'}",上巳三首,
2022,宋祁,蠹简时披落暗尘|昼窗风冷冰蟾津|不须长叹夫差事|恐有邻房儳和人,宋,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '3'}",庠局观书偶呈同舍,
2023,周紫芝,雨馀绕屋一渠水|日落满帘何处山|我亦时来开病眼|怕将春色照愁颜,宋,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}",次韵忍毋我春日三绝句,
2024,王安石,绕岸车鸣水欲乾|鱼儿相逐尚相欢|无人挈入沧江去|汝死那知世界宽,宋,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '1'}",鱼儿,
2025,赵佶,碧落金风爽气回|丛霄乍喜瑞霞开|经营欲致黎元福|敢谓诗人咏子来,宋,"{'holistic': '5', 'line1': '5', 'line2': '5', 'line3': '4', 'line4': '5'}",神霄玉清万寿宫庆成卿以使事奉安圣像闻有二诗书幈俯同其韵复赐太师,
2026,曾巩,涕泪昨辞亲|酸心今别子|舟陆空相望|掺袂卽千里,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}",与舍弟别舟岸间相望感叹成咏,
2027,黄假我,倚闾慈母笑颜开|频问天寒也得归|稚弟跟前才学步|似羞还喜去还来,近现代,"{'holistic': '4', 'line1': '4', 'line2': '3', 'line3': '3', 'line4': '4'}",归家杂诗五首录三,
2028,范成大,云台列像拱真人|野老犹誇建武春|不用剑锋能刜石|冰河一瞥已通神,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",光武庙,
2029,孙蕡,邑敝天寒草殒青|授经谁吊伏生灵|巉岩石刻虽奇古|终慊沙邱混鲍腥,明,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '2'}",过荏平望峄山,
2030,晁补之,惨澹天云欲雨低|秋山人静鸟声稀|似闻谷响飞黄叶|恐有孙登半岭归,宋,"{'holistic': '2', 'line1': '1', 'line2': '2', 'line3': '3', 'line4': '2'}",题段吉先小景三首,
2031,李觏,数枝斜出短墙阴|宻雪无端苦见侵|天意似怜羣木妬|尽教枯朽作瑶林,宋,"{'holistic': '3', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '4'}",雪中见梅花二首,
2032,张元干,玉局老仙天下人|平生爱与石传神|长江绝岛风涛里|千古常令墨色新,宋,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '4'}",跋东坡木石,
2033,刘克庄,妓有香分客有鱼|主君头白总因渠|枯杨此日悲风起|寂寞无人哭墓庐,宋,"{'holistic': '2', 'line1': '4', 'line2': '3', 'line3': '2', 'line4': '1'}",同郑君瑞出濑溪即事十首,
2034,龚自珍,少年无福过阙里|中年著书复求仕|仕幸不成书幸成|乃敢斋祓告孔子,淸,"{'holistic': '4', 'line1': '2', 'line2': '3', 'line3': '4', 'line4': '4'}",己亥杂诗,
2035,范成大,古藤阴下醉中休|谁与低眉唱此愁|团扇他年书好句|平生知已识儋州,宋,"{'holistic': '4', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '4'}",次韵徐子礼提举莺花亭,
2036,陆游,鸭子陂头看水生|蜂儿园里按歌声|天公用意谁能测|未许吾曹醉太平,宋,"{'holistic': '3', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '3'}",书感,
2037,苏轼,谁谓江湖居|而为虎豹宅|焚山岂不能|爱此千竿碧,宋,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '4'}",九月中曾题二小诗于南溪竹上既而忘之昨日再游见而录之,
2038,陆游,文叔君房两故人|可怜俱作白头新|桐江归伴邻翁醉|一笑相看意却真,宋,"{'holistic': '4', 'line1': '3', 'line2': '2', 'line3': '4', 'line4': '4'}",渔翁二首,
2039,陆游,风从高树下|虫抱短莎鸣|小据胡床坐|还扶拄杖行,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",夏夜暑毒不少解起坐庭中二首,
2040,苏轼,谁将射御教吴儿|长笑申公为夏姬|却遣姑苏有麋鹿|更怜夫子得西施,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",戏书吴江三贤画像三首,
2041,方回,懒照青铜雨垫巾|试将攲正问傍人|含羞小婢无言去|应笑髭须总似银,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",雨馀早起五首,
2042,苏轼,寿樽馀沥到朋簪|要与郎君语夜深|敢问阿婆开后阁|井中车辖任浮沉,宋,"{'holistic': '4', 'line1': '4', 'line2': '3', 'line3': '4', 'line4': '4'}",太夫人以无咎生日置酒留余夜归书小诗贺上,
2043,陆游,六十日白可续饭|三千年清何与人|堪笑此翁顽似铁|还山又食一番新,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '4'}",野饭,
2044,楚建中,自顾颓龄七十馀|久惭顽钝费洪炉|归逢大老耆年会|衰朽形骸愧画图,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '2'}",耆英会诗,
2045,苏辙,柴门不出蓬生径|暑雨无时水及堂|辟谷頼君能作客|暂来煎蜜饷桃康,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}",雨中招吴子野先生,
2046,王十朋,炎炎畏日爱浓阴|穆穆清风爱好音|不独爱松兼爱竹|此君亦有岁寒心,宋,"{'holistic': '5', 'line1': '4', 'line2': '5', 'line3': '4', 'line4': '5'}",爱松堂,
2047,郑谷,惊飞失势粉墙高|好个声音好羽毛|小婢不须催柘弹|且从枝上吃樱桃,唐,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '3'}",山鸟,
2048,刘攽,汉军诛蛮蛮遁走|汉使约降蛮稽首|天威若日照四海|杀人得贼亦何有,宋,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}",蛮请降三首,
2049,姜夔,诸老凋零极可哀|尚留名字压崔嵬|刘郎可是疎文墨|几点胭脂污緑苔,宋,"{'holistic': '3', 'line1': '1', 'line2': '3', 'line3': '3', 'line4': '3'}",登乌石寺观张魏公刘安成岳武穆留题刘云侍儿意真奉命题记,
2050,陶益,凄风苦雨总堪伤|况复抽丁戍海旁|此际独疑人世异|扶锄遮路说农桑,明,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '3'}",和诸父老喜晴四首,
2051,屈大均,双桨逆风潮|心飞不觉遥|送君无一语|呜咽是南朝,明,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}",秋日挈舟茉莉沙追送孔参军即景口占以赠其行,
2052,张耒,五更人语起江城|歌笑喧喧天欲明|酌酒寿君但一醉|百年珍重是人情,宋,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '4'}",冬至赠潘郎二首,
2053,方献夫,金碧辉辉映玉台|百花丛里五云堆|感恩稽首臣何祝|愿捧年年万寿杯,明,"{'holistic': '5', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '5'}",恭纪圣恩春日同游并颁赐殊品,
2054,韩元吉,诗翁爱竹有佳句|诗就移官可奈何|密叶岁寒应更好|剩来和雪看婆娑,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}",次韵李平叔直舍竹二绝句,
2055,杨万里,芦荻中间一港深|蒌蒿如柱不成簪|正愁半日无村落|远有人家在树林,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '3'}",已至湖尾望见西山三首,
2056,曾极,凿地破除函谷帝|埋金厌胜郢中王|兴亡总不关君事|五百年前枉断肠,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '1'}",金陵,
2057,吴融,繁红落尽始凄凉|直道忘忧也未忘|数朵殷红似春在|春愁特此系人肠,唐,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '2'}",忘忧花,
2058,苏辙,闭门不问门前事|灯火薰天自不知|闻道朝来雪又下|老人今岁未应饥,宋,"{'holistic': '3', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '3'}",上元前雪三绝句,
2059,田遨,此情此语喜相符|妙写人天事万殊|莫怪诗人偏爱美|美中真假不含糊,近现代,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}",秦国《国风吟苑》诗刊主编王诚以论诗七绝征和因步韵,
2060,方回,我欲培修竹|新添笋几根|徘徊看不已|爱惜似儿孙,宋,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}",漫兴九首,
2061,张耒,师似浮云触处闲|倦飞知我未能还|林泉会有相逢日|风月应须乞半山,宋,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '4', 'line4': '3'}",赠别仪上人,
2062,朱淑真,女子弄文诚可罪|那堪咏月更吟风|磨穿铁砚成何事|绣折金针却有功,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '3'}",自责二首,
2063,陆游,至德无私不我欺|精祈未效莫轻疑|但令葵藿勤倾向|会有风云感会时,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",祈雨二首,
2064,元好问,漫山白白与红红|小树低丛看不供|总道楂花香气好|就中偏爱玉珑松,元,"{'holistic': '5', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '5'}",游天坛杂诗五首,
2065,袁宏道,骨如枯竹面如灰|顷刻酸呼四五回|人世万千穷恼病|被君包揽上身来,明,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}",予公贫病无日开颜闷坐舟中口占乞咲,
2066,朱淑真,纱幮困卧日初长|解却红裙小罩凉|一篆炉烟笼午枕|冰肌生汗白莲香,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '4'}",暑月独眠,
2067,陆游,身似匡庐老病僧|闭门一衲坐腾腾|雨声惊断长安梦|惆怅西窗夜半灯,宋,"{'holistic': '2', 'line1': '2', 'line2': '3', 'line3': '2', 'line4': '1'}",杂书四首,
2068,杨万里,道是行船也未行|老夫误喜可怜生|要知开闸真消息|记取金钲第二声,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '3'}",过吕城闸六首,
2069,洪传经,亦知花好要人扶|别有风神入画图|自笑自怜还自寿|从今不负好头颅,近现代,"{'holistic': '5', 'line1': '3', 'line2': '3', 'line3': '5', 'line4': '5'}",二十二岁生日悲鸿教授为写小照赋此致谢,
2070,陆游,小南门外野人家|短短踈篱缭白沙|红稻不须鹦鹉啄|清霜催放两三花,宋,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '4'}",江上散步寻梅偶得三绝句,
2071,李之仪,红炉欢坐腊灯长|豫借春风发艳妆|流水落花无限好|却应双鬓恨刘郎,宋,"{'holistic': '2', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '2'}",赠吕焕,
2072,陈师道,从昔婵娟多命薄|如今歌舞更能诗|孰知文雅河阳令|不削琼奴柱下题,宋,"{'holistic': '2', 'line1': '2', 'line2': '4', 'line3': '3', 'line4': '2'}",题柱二首,
2073,刘克庄,千载枯槎无主名|才翁子晦各偷撑|分明博望升天诉|不许人间别姓争,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}",题张簿尉槎溪集,
2074,杨万里,天堕楸枰作稻畦|啼乌振鹭当枯棋|不论胜负端何似|黑子终多白子稀,宋,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '3'}",晚望,
2075,韩愈,暂辞堂印执兵权|尽管诸军破贼年|冠盖相望催入相|待将功德格皇天,唐,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '4'}",次潼关上都统相公（韩弘也）,
2076,黄假我,浮名浮利悠悠散|好水好山处处宜|南社诗翁老逾健|独披风雨写新词,近现代,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}",柬呈柳亚子先生,
2077,范成大,官忙风月镇长閒|开遍香红酒尚寒|若要与花相领略|千岩随分有阑干,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '3'}",真瑞堂前丹桂,
2078,朱淑真,消得骚人几许时|疏篱淡月著横枝|破荒的皪香随马|春信先教驿使知,宋,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '4'}",梅花二首,
2079,孙继皋,三年嘉绩美菰芦|为政风流与众殊|花满河阳辉墨绶|珠来南海映氷壶,明,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}",赵令公考绩,
2080,王佐,浓阴好爱西桥过|影午交枝几树榕|钟秀地形山叠叠|鬨声滩势水重重,明,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",塘园四景回文诗,
2081,元好问,万古飞流泻不供|枉教喷薄困鱼龙|谪仙剩有银河句|不道香炉更一峰,元,"{'holistic': '4', 'line1': '4', 'line2': '2', 'line3': '3', 'line4': '4'}",黄华峪十绝句,
2082,陆游,小诗闲淡如秋水|病后殊胜未病时|自翦矮笺誊断稿|不嫌墨浅字倾攲,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '3'}",嘉定己巳立秋得膈上疾近寒露乃小愈十二首,
2083,史铸,满园佳菊鬰金黄|寿质清癯独傲霜|且喜年年作花主|依然相伴向秋光,宋,"{'holistic': '5', 'line1': '5', 'line2': '5', 'line3': '5', 'line4': '5'}",黄菊二十首,
2084,释普岩,孩儿不见弃浑身|可惜婆婆眼不亲|白浪洪波无了日|至今愁杀渡头人,宋,"{'holistic': '1', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '1'}",大义渡,
2085,司马光,清闲自合无忧累|白髪何因更飒然|遥望孤飞下秋水|雪花一片落晴天,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '4'}",鹭鸶,
2086,张舜民,种瓜再摘觉瓜稀|不为衰年骨肉离|何事一哀还不哭|老人相别不多时,宋,"{'holistic': '1', 'line1': '2', 'line2': '2', 'line3': '1', 'line4': '1'}",哀虢县令犹子箅,
2087,司马光,羽短笼深不得飞|久留宁为稻粱肥|胶胶风雨鸣何苦|满室高眠正掩扉,宋,"{'holistic': '2', 'line1': '2', 'line2': '3', 'line3': '1', 'line4': '2'}",鸡,
2088,杨万里,百楮先生十兔尖|心知奇绝敢言贪|诗无好语书仍俗|喜气多多抵得惭,宋,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '4'}",谢赵茂甫惠浙曹中笔蜀越薄笺二首,
2089,陈宓,簪组虚加病倦身|暮年始羡葛天民|门前幸有田堪治|旋买渔舠学放纶,宋,"{'holistic': '3', 'line1': '2', 'line2': '2', 'line3': '4', 'line4': '3'}",和刘学录韵,
2090,杨万里,问著无声是阿兄|坐看家贼只吞声|戮尸大放经纶手|长柄判将锡茂弘,宋,"{'holistic': '4', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '4'}",晨炊翫鞭亭二首,
2091,范成大,文场宁复鬓霜宜|白玉堂前雪霁时|不惜狂言枨忌讳|秃毫冰砚竟无奇,宋,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}",朋元不赴湖上观雪之集明日余召试玉堂见寄二绝次其韵,
2092,王建,春明门外作卑官|病友经年不得看|莫道长安近于日|升天却易到城难,唐,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '2', 'line4': '1'}",寄广文张博士,
2093,白玉蟾,白云和我到天台|眼入青山意豁开|到彼山中结茅屋|空馀千古夜猿哀,宋,"{'holistic': '2', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '2'}",华阳吟,
2094,宋祁,溪上寻春春已来|小桃初似剪刀裁|今朝判与诸人醉|暂见芳菲眼亦开,宋,"{'holistic': '4', 'line1': '5', 'line2': '4', 'line3': '4', 'line4': '5'}",寻春溪上,
2095,高启,拂竹绿莎复点台|夜窗无月见飞来|旧书乱后都抛却|懒就微光更展开,明,"{'holistic': '2', 'line1': '4', 'line2': '3', 'line3': '2', 'line4': '2'}",夜斋见萤火,
2096,陆游,地润础流水|气蒸人脱裘|前知暴雨至|孰解老农忧,宋,"{'holistic': '3', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '2'}",大雨排闷二首,
2097,刘克庄,新戒几曾参古德|死人不信有神仙|蚊虻纵使皆成佛|鸡犬何修得上天,宋,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '1'}",先识一首,
2098,杨万里,懊恼西来不见山|五更指准月中看|却将香雾宽裁幕|性燥和天总一漫,宋,"{'holistic': '4', 'line1': '2', 'line2': '3', 'line3': '4', 'line4': '4'}",过青阳县望九华山云中不真来早大雾竟不见其全三首,
2099,萨都剌,野荠花开春欲尽|山樱子落雨初晴|酒醒骑马踏花去|门外绿阴无数生,元,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}",京口城南次集,
2100,朱熹,困学工夫岂易成|斯名独恐是虚称|傍人莫笑标题误|庸行庸言实未能,宋,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '2'}",困学二首,
2101,秦观,仗下番夷各一群|机泉如雨自缤纷|细看香案旁边吏|却是茅家大小君,宋,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '3'}",次韵东坡上元扈从三绝,
2102,伍瑞俊,剩粉残香未易忘|胜于新蘂断君肠|不知福地真何福|得护佳人绿鬓香,明,"{'holistic': '4', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '4'}",花阡,
2103,陈师道,已是登临晚|长须爱惜春|终当捐世事|来作卧云人,宋,"{'holistic': '3', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '3'}",眠云斋,
2104,萨都剌,祭天马酒洒平野|沙际风来草亦香|白马如云向西北|紫驼银瓮赐诸王,元,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '4'}",上京即事,
2105,岳珂,玉辇三朝奉至尊|并开朱邸傍金门|绿车日日朝慈寿|亲见含饴庆弄孙,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '5'}",宫词一百首,
2106,张耒,病来久不上层台|窗有蛛丝径有苔|为报园花莫惆怅|故教太守及春来,宋,"{'holistic': '3', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '3'}",游园,
2107,刘克庄,曾对青藜汉阁中|天风吹散各西东|白头重得为僚友|同为君王辖竹宫,宋,"{'holistic': '4', 'line1': '3', 'line2': '2', 'line3': '4', 'line4': '4'}",蒙恩复畀明道祠寄呈赵克勤吏部三首,
2108,刘克庄,弟兄虽幸忝朱轮|各是人间五十人|只合共娱千岁母|可能少补二州民,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '2'}",和仲弟十绝,
